Time	Conc
2249.083	0.00433
2249.125	0.00432
2249.167	0.00432
2249.208	0.00432
2249.25	0.00431
2249.292	0.00431
2249.333	0.00431
2249.375	0.0043
2249.417	0.0043
2249.458	0.00429
2249.5	0.00429
2249.542	0.00429
2249.583	0.00428
2249.625	0.00428
2249.667	0.00428
2249.708	0.00427
2249.75	0.00427
2249.792	0.00426
2249.833	0.00426
2249.875	0.00426
2249.917	0.00425
2249.958	0.00425
2250	0.00424
2250.042	0.00424
2250.083	0.00424
2250.125	0.00423
2250.167	0.00423
2250.208	0.00423
2250.25	0.00422
2250.292	0.00422
2250.333	0.00421
2250.375	0.00421
2250.417	0.00421
2250.458	0.0042
2250.5	0.0042
2250.542	0.0042
2250.583	0.00419
2250.625	0.00419
2250.667	0.00418
2250.708	0.00418
2250.75	0.00418
2250.792	0.00417
2250.833	0.00417
2250.875	0.00417
2250.917	0.00416
2250.958	0.00416
2251	0.00416
2251.042	0.00415
2251.083	0.00415
2251.125	0.00415
2251.167	0.00414
2251.208	0.00414
2251.25	0.00413
2251.292	0.00413
2251.333	0.00413
2251.375	0.00412
2251.417	0.00412
2251.458	0.00412
2251.5	0.00411
2251.542	0.00411
2251.583	0.00411
